atm_group;lat;long;n_mall_100;n_mall_300;n_bank_100;n_bank_300;n_department_store_100;n_department_store_300;n_station_100;n_station_300;n_alcohol_100;n_alcohol_300;n_police_100;n_police_300;n_university_100;n_university_300;n_railway_station_100;n_railway_station_300;population;subject;salary;target
496;53.338893;43.314418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7536;пензенская область;32014.6;-0.0525397941859454
1942;47.263316;38.92004;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;2104;ростовская область;33872.7;-0.0775161057874957
8083;56.892635;60.612485;0;0;5;5;0;0;0;0;1;0;0;0;0;0;0;0;1515832;свердловская область;41078.8;0.1749702324189104
5478;54.514007;36.257388;0;0;6;2;0;0;0;0;4;0;1;0;0;0;0;0;335017;калужская область;41050.8;-0.0098162594128879
8083;56.267192;43.910882;0;0;3;0;0;0;1;0;0;0;1;0;0;0;0;0;6150;нижегородская область;34867.4;0.2130707165447104
5478;55.766035;37.638117;0;0;4;1;0;0;3;2;3;1;0;0;0;0;0;0;12380664;москва;89128.6;0.0495951289322251
5478;56.860959;60.646181;0;0;2;2;1;0;0;0;4;1;1;1;0;0;0;0;1515832;свердловская область;41078.8;-0.0630223432076265
5478;53.342506;83.684905;0;0;4;1;0;0;0;0;0;0;1;0;0;0;0;0;2355;алтайский край;28265.5;-0.0036263797821452
8083;56.476065;53.814655;3;2;3;0;0;0;0;0;0;0;1;0;0;0;0;0;96361;удмуртская республика;33785.9;0.059440677190761
1942;59.867331;30.261367;0;0;5;1;0;0;1;1;3;0;2;0;0;0;0;0;5225690;санкт-петербург;62223.8;-0.0062153657858185
5478;54.907812;52.25544;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;151157;республика татарстан;37708.0;-0.1159471846268226
5478;55.149532;61.411133;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;1134643;челябинская область;37183.9;-0.1144874614610939
8083;51.719622;94.445464;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;116983;республика тыва;37667.0;0.1927890867407498
1942;55.679727;37.894972;0;0;6;4;0;0;0;0;2;1;1;0;0;0;0;0;172525;московская область;54939.5;0.0462594646936217
32;43.133499;131.903128;0;0;4;1;0;0;0;0;2;0;1;1;0;0;0;0;633102;приморский край;45075.1;-0.0993124936913647
5478;55.151528;61.390786;0;0;5;2;0;0;0;0;3;0;1;0;0;0;0;0;1134643;челябинская область;37183.9;-0.0215459709568831
5478;55.832035;49.079698;0;0;8;4;0;0;0;0;2;0;0;0;0;0;0;0;1205651;республика татарстан;37708.0;-0.0261623480159294
5478;48.51811;44.534088;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2873;волгоградская область;32191.9;-0.1282240198811035
1942;48.497492;135.097932;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;617473;хабаровский край;50228.1;0.0668984428324831
5478;55.674575;37.760225;0;0;4;3;0;0;1;0;3;3;1;0;0;0;0;0;2450;московская область;54939.5;0.0197049497621799
1942;55.128748;82.898601;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1062;новосибирская область;38968.9;0.0007007466601096
1942;50.694253;38.324502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7531;белгородская область;35324.3;0.0517735162320955
5478;54.195788;37.676187;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;546953;тульская область;37002.0;-0.0513374885503375
5478;55.421665;65.254736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11284;курганская область;30252.8;-0.023310135062185
5478;56.327915;37.510134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61305;московская область;54939.5;-0.0203446202183402
3185;53.165107;50.075076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1156608;самарская область;36266.9;-0.1450012314747548
496;53.866943;44.857347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5035;пензенская область;32014.6;-0.0989445613567888
5478;58.044091;56.094858;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;11459;пермский край;37772.9;-0.1269803846318086
8083;48.713922;44.511963;0;0;2;0;0;0;0;0;2;0;0;0;0;0;1;0;1030400;волгоградская область;32191.9;0.0970478965088608
1942;51.254239;58.445443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;228264;оренбургская область;32594.7;-0.0557702244725029
496;51.287435;37.521183;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;87083;белгородская область;35324.3;-0.11620190044198
1022;54.707842;47.525855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1011;республика татарстан;37708.0;-0.1028150086063411
8083;55.761685;37.658527;0;0;6;1;0;0;0;0;1;0;0;0;0;0;0;0;12380664;москва;89128.6;0.1587326199841625
1942;55.888104;37.662452;0;0;6;1;0;0;1;0;2;0;0;0;0;0;0;0;173160;московская область;54939.5;0.0033382394867508
1942;59.807052;30.162229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4551;ленинградская область;45368.5;0.0713898432455831
5478;55.159311;61.412723;0;0;6;1;0;0;0;0;4;0;0;0;0;0;0;0;1134643;челябинская область;37183.9;-0.1253141698810556
5478;58.050636;38.766383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1281;ярославская область;35357.2;-0.1450012314747548
496;55.141845;61.443095;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;1134643;челябинская область;37183.9;-0.0290006254323364
3185;55.036747;73.263504;1;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;3143;омская область;34833.6;-0.1101605679442367
1942;52.838098;40.41984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1231;тамбовская область;28979.1;-0.0247128852510862
5478;57.637873;39.816909;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;3180;ярославская область;35357.2;-0.034693770898905
1942;55.343092;38.207945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1245;московская область;54939.5;0.0007783227139407
1022;53.249316;50.222768;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1156608;самарская область;36266.9;-0.1132560400711163
496;53.351768;102.785064;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;5104;иркутская область;45856.1;-0.070810203575399
5478;51.869372;44.995005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24649;саратовская область;28224.3;-0.0142710261606393
5478;60.057464;29.999086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47457;ленинградская область;45368.5;0.0131483365118077
5478;55.670021;37.55248;0;0;10;5;0;0;1;0;3;0;0;0;0;0;0;0;2450;московская область;54939.5;-0.0078888915246151
496;55.546572;34.994617;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31560;смоленская область;31238.7;-0.1101605679442367
8083;48.797855;40.353805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8516;ростовская область;33872.7;0.1063093847540239
1942;55.7621;37.55867;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;12380664;москва;89128.6;0.0147642272610527
8083;50.37228;103.288085;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;11180;республика бурятия;38845.8;0.1562951536152556
5478;54.672346;20.501917;0;0;3;1;0;0;0;0;3;1;1;0;0;0;0;0;467289;калининградская область;34322.9;-0.0652526817140729
496;59.542333;30.880522;0;0;2;1;0;0;0;0;1;0;0;0;0;0;1;0;39101;ленинградская область;45368.5;-0.0372481385473647
1942;45.038228;41.948278;0;0;4;1;0;0;0;0;1;0;0;0;0;0;0;0;425853;ставропольский край;32163.8;0.0180556438549661
5478;59.217217;39.880222;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;1197;вологодская область;38567.1;-0.0392762539592743
5478;45.045145;41.971069;0;0;3;0;0;0;0;0;1;0;3;1;0;0;0;0;425853;ставропольский край;32163.8;-0.042788239094916
5478;45.047609;38.977712;1;0;8;2;0;0;0;0;1;1;0;0;0;0;0;0;987828;краснодарский край;36101.1;0.0116582730311227
5478;58.056041;38.797941;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;193341;ярославская область;35357.2;-0.0349310508461501
5478;58.002663;55.941291;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1563;пермский край;37772.9;-0.1061108518316019
496;55.390557;37.201527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5351;московская область;54939.5;-0.0582641855319311
5478;55.030612;82.917546;0;0;9;4;0;0;1;0;0;0;1;0;0;0;0;0;1618039;новосибирская область;38968.9;-0.0880007247313053
5478;54.867119;37.215424;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;37308;московская область;54939.5;-0.1061657576941264
5478;55.178285;36.661136;0;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;27396;калужская область;41050.8;-0.0053811585265487
5478;53.235085;50.22196;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;1156608;самарская область;36266.9;0.046629893122826
1942;56.319529;43.944928;0;0;4;2;0;0;1;0;0;0;0;0;0;0;1;0;1276560;нижегородская область;34867.4;-0.046799702582305
3185;55.008882;73.346078;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;1178391;омская область;34833.6;-0.0672348273653872
8083;55.817092;37.641602;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;12380664;москва;89128.6;0.1267612511073508
1942;55.029719;73.278946;3;0;5;2;0;0;0;0;2;1;0;0;0;0;0;0;1178391;омская область;34833.6;0.0485881630739964
1942;59.849754;30.397974;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;31577;ленинградская область;45368.5;-0.0247397188198566
496;55.933327;39.454915;0;0;2;1;0;0;0;0;1;0;1;1;1;0;0;0;13382;владимирская область;31885.0;-0.0236394608296985
5478;57.146051;65.541946;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;744554;тюменская область;46342.7;-0.0224554346566416
3185;56.039293;92.9025;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1066934;красноярский край;48725.4;0.0452322400295166
5478;48.530963;135.052414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1105;еврейская автономная область;41382.3;0.006078225052931
5478;53.221144;44.877361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5246;пензенская область;32014.6;-0.0365411618098331
8083;55.732291;37.576241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12380664;москва;89128.6;-0.0170536571926201
5478;55.600394;36.472966;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;17381;московская область;54939.5;-0.0755467449487956
5478;56.212394;43.820296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6150;нижегородская область;34867.4;-0.020355193399938
5478;56.854404;60.603933;0;0;2;1;0;0;0;0;3;0;1;0;0;0;0;0;1515832;свердловская область;41078.8;-0.0994571777949294
496;51.235052;36.694293;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4956;курская область;33048.0;-0.0787939986779948
8083;54.992441;73.367044;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1178391;омская область;34833.6;0.0836988897670465
8083;43.431253;39.925452;0;0;4;1;0;0;0;0;2;0;0;0;0;0;0;0;5240;краснодарский край;36101.1;0.1803214530013002
5478;51.816083;107.625825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;430186;республика бурятия;38845.8;-0.0298438287863512
8083;48.482923;135.072348;0;0;4;1;0;0;0;0;1;0;0;0;0;0;0;0;617473;хабаровский край;50228.1;0.1564994127648512
496;55.305343;82.737065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12285;новосибирская область;38968.9;-0.0677314363530018
496;62.032474;129.727121;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;318768;республика саха (якутия);70063.0;0.06503416946473
5478;56.070313;47.215047;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;6975;чувашская республика;29844.4;-0.0538442176689133
5478;57.626255;39.889205;0;0;2;1;1;0;0;0;1;0;0;0;2;1;0;0;603961;ярославская область;35357.2;-0.0684276440743414
496;51.57156;34.687861;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;16014;курская область;33048.0;-0.1038643260795917
5478;46.957845;142.73063;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;200854;сахалинская область;86965.8;0.0122646998044452
3185;43.114739;131.885413;4;0;4;1;0;0;0;0;1;0;1;0;0;0;0;0;633102;приморский край;45075.1;-0.0992643548442023
8083;55.912804;37.57157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90956;московская область;54939.5;0.098820234013268
8083;55.902035;37.448725;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;207425;московская область;54939.5;0.1981190741933139
496;57.605392;39.821499;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3180;ярославская область;35357.2;-0.0698714175306331
5478;54.910187;71.261384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;22966;омская область;34833.6;-0.0370826407918102
5478;44.035914;43.058452;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;145971;ставропольский край;32163.8;-0.0195264563514908
1022;55.757744;52.000588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71991;республика татарстан;37708.0;-0.096355857046655
5478;50.594922;36.573757;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;378390;белгородская область;35324.3;-0.0248279837341692
5478;56.001715;93.040859;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;20887;красноярский край;48725.4;0.0206886245213782
3185;57.173752;65.558322;0;0;4;1;1;1;0;0;0;0;0;0;0;0;0;0;744554;тюменская область;46342.7;-0.0437128094972082
5478;54.32167;48.401048;0;0;4;1;0;0;0;0;1;1;0;0;0;0;0;0;627870;ульяновская область;30637.9;-0.0240124587976658
1942;55.781833;37.72299;0;0;6;3;0;0;1;0;3;0;0;0;0;0;0;0;12380664;москва;89128.6;0.0735522117273217
5478;56.440826;43.681174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3908;нижегородская область;34867.4;-0.068285886366451
496;51.781763;36.171851;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1050;курская область;33048.0;-0.0492120635189561
8083;59.990899;30.20578;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;5225690;санкт-петербург;62223.8;0.1886454740711703
1942;64.593911;40.581141;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1944;архангельская область;48515.3;-0.1446618883943585
1942;55.742007;37.867169;0;0;2;0;0;0;0;0;2;0;1;0;0;0;0;0;87314;московская область;54939.5;0.0505495816697389
1942;64.553811;40.551964;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;348343;архангельская область;48515.3;0.0159080684994383
5478;53.454953;125.800216;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;9989;амурская область;48242.3;-0.0914868128849095
5478;56.125666;40.393465;1;1;6;2;0;0;0;0;0;0;1;0;6;0;0;0;356168;владимирская область;31885.0;-0.056874198615168
3185;55.988575;92.939053;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1066934;красноярский край;48725.4;0.014625766745981
5478;54.717324;55.984599;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;177865;республика башкортостан;36638.1;-0.0581256892770498
8083;45.462002;133.402658;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;35310;приморский край;45075.1;0.2037900791350482
3185;55.195056;61.346589;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;1630;челябинская область;37183.9;-0.0650444185964808
3185;51.159252;37.886214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1206;белгородская область;35324.3;-0.028302077971229
1942;56.458129;84.951574;1;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;575352;томская область;42725.9;-0.0180894418833525
1942;54.709991;20.442763;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;467289;калининградская область;34322.9;0.0217373794869723
5478;52.243997;104.273186;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;623479;иркутская область;45856.1;-0.0531250595557592
5478;52.028372;113.495084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;349005;забайкальский край;43974.9;-0.0111267196165574
5478;55.060936;82.915094;0;0;7;2;0;0;1;0;4;0;0;0;0;0;0;0;1618039;новосибирская область;38968.9;-0.0293806837954777
3185;55.029152;73.258007;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;3143;омская область;34833.6;-0.0248203025828604
3185;51.815705;55.139149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2247;оренбургская область;32594.7;-0.1414640776563427
1942;55.343609;86.095408;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;558973;кемеровская область;41530.6;0.0076992072998293
5478;54.923605;73.408744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1693;омская область;34833.6;-0.015579401119731
1942;60.005437;30.299034;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;5225690;санкт-петербург;62223.8;-0.0052755071117453
1942;52.621653;39.576466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;509420;липецкая область;34133.1;-0.0602655799300069
1942;53.757862;87.131408;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;551919;кемеровская область;41530.6;-0.081762109952037
496;53.197086;45.019035;5;1;5;0;1;1;0;0;1;0;0;0;0;0;0;0;522317;пензенская область;32014.6;0.0259088806733042
1942;60.02254;30.29324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11944;ленинградская область;45368.5;0.0522888811121023
1022;55.786318;49.189876;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1205651;республика татарстан;37708.0;-0.0568386770219618
8083;42.972414;132.407181;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;18507;приморский край;45075.1;0.1402925585672268
5478;55.060936;82.915094;0;0;7;2;0;0;1;0;4;0;0;0;0;0;0;0;1618039;новосибирская область;38968.9;-0.049578346921842
5478;60.010115;30.404316;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;48822;ленинградская область;45368.5;-0.0157662578581009
5478;55.095678;38.763975;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;144589;московская область;54939.5;0.0402096995193499
8083;46.305906;44.299709;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;102618;республика калмыкия;27812.7;0.1538137696131462
5478;55.947812;37.499381;0;0;2;1;1;0;0;0;2;1;0;0;0;0;0;0;90956;московская область;54939.5;0.0246854567067618
1942;58.005548;55.937967;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1563;пермский край;37772.9;-0.1087176500261838
32;53.519311;49.416485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;731544;самарская область;36266.9;0.1333491692964755
5478;59.928095;32.304002;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;1883;ленинградская область;45368.5;-0.1163909726193895
1942;54.734019;55.957128;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;177865;республика башкортостан;36638.1;-0.0016228837279153
5478;55.143939;61.414348;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1134643;челябинская область;37183.9;-0.0621735896687305
1942;55.566807;37.576385;0;0;6;4;0;0;2;0;5;2;1;0;0;0;0;0;2781;московская область;54939.5;0.0201181548245964
1942;55.604565;38.082064;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;1639;московская область;54939.5;0.0518898527699487
1942;55.028785;73.275838;3;2;7;2;0;0;0;0;1;0;0;0;0;0;0;0;1178391;омская область;34833.6;0.0580312155060171
5478;55.815701;37.731838;0;0;2;1;0;0;1;0;1;0;0;0;0;0;0;0;12380664;москва;89128.6;0.0024268194243171
496;54.688337;39.627984;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1109;рязанская область;33549.9;-0.0919446767082185
5478;43.13292;131.904098;0;0;4;3;0;0;0;0;2;0;1;0;0;0;0;0;633102;приморский край;45075.1;-0.0098047446915362
5478;50.923149;128.465032;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;65809;амурская область;48242.3;-0.0100991683218459
5478;46.335159;48.017548;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;115208;астраханская область;34601.4;-0.0327126795401122
5478;54.511891;36.251747;0;0;1;1;0;0;0;0;1;0;0;0;2;0;0;0;335017;калужская область;41050.8;-0.0555411258172602
5478;54.610345;39.715327;0;0;2;0;0;0;0;0;2;1;0;0;0;0;0;0;537622;рязанская область;33549.9;-0.0432238602528871
5478;55.807992;38.987386;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;120670;московская область;54939.5;0.0035101554365334
5478;52.539785;85.212679;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;200576;алтайский край;28265.5;-0.0458421956441324
8083;55.170784;61.374562;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1134643;челябинская область;37183.9;0.1339025741572567
1942;54.734019;55.957128;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;177865;республика башкортостан;36638.1;-0.1227090718120806
5478;56.012934;92.882153;0;0;7;1;0;0;0;0;1;1;0;0;0;0;0;0;1066934;красноярский край;48725.4;-0.00098963936807
8083;46.265456;47.970234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2734;астраханская область;34601.4;0.2186083166997159
5478;53.342925;83.781878;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;633432;алтайский край;28265.5;-0.0626002035701923
5478;43.44714;39.903704;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;5240;краснодарский край;36101.1;-0.0172492096350283
5478;46.406201;48.08918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148717;астраханская область;34601.4;0.0144119595984989
8083;46.965926;142.739981;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;200854;сахалинская область;86965.8;0.1286816380122226
8083;54.183997;45.184657;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;318578;республика мордовия;28474.7;0.1271532349739291
1942;59.825212;30.380798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;31577;ленинградская область;45368.5;-0.0736295392809077
5478;56.153864;44.209581;0;0;2;1;0;0;0;0;4;1;0;0;0;0;0;0;67439;нижегородская область;34867.4;-0.017968094552844
5478;55.612045;37.732718;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;9778;московская область;54939.5;-0.0234969964244154
1942;55.78278;37.650253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12380664;москва;89128.6;0.0836931539133298
1942;55.854032;37.475854;0;0;8;2;0;0;1;0;2;0;0;0;0;0;0;0;207425;московская область;54939.5;0.0658862391501843
496;50.860662;39.083147;1;0;2;0;1;0;0;0;2;0;0;0;0;0;0;0;32317;воронежская область;33703.9;0.0133378616175296
8083;60.001523;30.299429;1;1;7;4;0;0;0;0;3;1;0;0;0;0;0;0;5225690;санкт-петербург;62223.8;0.1775760411723423
5478;59.19026;39.921248;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;311166;вологодская область;38567.1;-0.0626637039051813
5478;51.660892;35.658904;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;38240;курская область;33048.0;-0.0426907244815861
496;51.693681;39.181539;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;1054111;воронежская область;33703.9;-0.0596248180663582
8083;48.457565;135.184646;0;0;3;2;0;0;0;0;4;2;0;0;0;0;0;0;1478;хабаровский край;50228.1;0.1608315101576302
1942;54.899379;52.274017;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;151157;республика татарстан;37708.0;0.0327875097811583
5478;58.034982;38.847788;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;193341;ярославская область;35357.2;-0.0883767422910557
1942;56.024783;92.784506;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;1066934;красноярский край;48725.4;0.0394316280723749
496;57.005529;40.985302;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;405053;ивановская область;27174.6;-0.0607035505294997
5478;47.262625;39.664285;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1928;ростовская область;33872.7;-0.0592589887241413
