,lat,long
5276,51.75501,36.190275
3656,56.732035,37.150898
461,55.79766,37.939124
3898,55.644089,51.850084
3730,59.209415,39.898961
5917,56.117853,47.184388
2106,64.556683,39.799014
386,54.707686,55.99978
5051,56.475916,65.329395
707,54.015009,38.8324
2125,56.525345,84.952104
3720,54.417148,86.308282
3811,54.62392,39.751332
5821,53.342506,83.684905
1955,56.036548,92.772325
2508,59.243606,39.83739
3031,45.041852,41.969137
3677,54.774862,32.045664
3970,54.732096,20.539916
2786,51.528088,46.045171
2577,59.087929,35.231081
361,48.492065,135.089766
1055,55.063947,82.988118
85,55.796526,37.486859
789,56.851535,35.849427
1401,55.820126,49.107474
1242,51.706134,39.149308
530,53.836801,87.179154
1367,46.31703,44.254676
2488,58.048507,38.854606
760,53.510433,49.410646
302,51.826733,55.142805
1006,55.764663,37.657485
819,55.859696,37.121047
504,52.033735,113.464721
6109,54.729579,20.476261
3489,56.892635,60.612485
781,54.72152,20.509149
3780,51.733624,36.138703
2924,50.542299,137.032867
2103,59.577862,150.809224
2968,43.0934,131.91141
730,55.547845,37.543246
738,53.018647,158.646989
55,53.183976,158.387789
3434,48.713952,44.860248
3935,53.418337,58.984918
3227,55.010535,82.958069
2744,53.757862,87.131408
206,57.139532,65.57574
513,53.350553,83.692702
1813,46.355489,48.055996
5557,54.330859,48.483334
3417,48.766837,44.541805
3516,56.344122,30.518645
4066,53.61781,55.907074
1208,53.056366,158.63646
3339,55.25989,61.403281
5093,53.975374,38.157666
5673,56.998563,40.974604
1932,53.196898,45.005587
2424,50.2587,127.527973
1754,54.988923,73.30233
2298,55.751492,49.22112
1384,59.096194,35.224407
5615,57.51372,41.233211
2803,52.329683,104.23614
5009,46.930307,142.747428
455,57.146261,65.552653
3020,58.744276,29.854493
4026,48.482744,135.073534
3806,58.045844,38.826579
428,42.97496,132.408924
6129,51.701769,94.393667
3657,48.312396,40.281634
1454,55.822539,37.875631
1874,54.617607,39.788261
539,55.723496,37.637416
3847,55.818817,49.113331
4883,58.542739,31.267202
2185,52.254859,104.358266
1334,62.027854,129.736804
3111,44.144841,43.010941
5883,48.458826,135.089668
190,45.275511,38.839919
1746,46.312299,44.295675
4415,53.149599,38.077411
3318,55.160278,61.410234
2492,55.629394,37.308965
5170,56.906507,60.614911
4050,62.031499,129.742392
3915,56.443374,52.217055
1379,54.308198,48.392029
4504,47.696242,40.10463
429,53.072021,158.587323
4776,54.015723,38.297166
3581,56.276449,83.962044
1592,55.67825,37.697316
6103,45.469575,133.394017
4407,50.298461,127.510285
2228,58.60938,49.668131
3504,52.427313,37.604762
1491,55.868688,37.662515
3532,54.195788,37.676187
4873,53.482231,48.749073
6191,56.460208,84.956156
2820,56.794273,53.184164
1579,60.00002,30.256301
4185,56.465664,84.972631
3645,60.002288,30.272497
3334,51.295552,37.836689
5630,54.57876,36.254388
3952,45.476084,40.393277
70,51.659009,39.187756
5490,59.724868,30.406266
5004,53.715141,91.433719
1747,45.044202,41.970943
3329,61.670355,50.836686
5536,53.302381,34.09084
4769,51.758249,36.188407
20,53.070803,158.58752
3934,55.26286,61.403138
3232,60.007668,30.259822
4944,55.351835,86.071953
2499,55.74149,37.504043
1113,53.325718,50.305359
1479,55.657621,37.482771
5059,51.781763,36.171851
1027,56.317587,44.020045
2625,51.096564,128.379863
1033,68.975853,33.11421
994,55.885494,37.604673
3,55.805827,37.515146
660,55.754638,37.621633
6138,55.638252,37.607179
5991,48.541695,135.040431
823,57.587112,39.906147
3955,54.852537,83.045493
1644,55.585174,37.734991
2063,53.231813,50.272427
1328,51.368181,42.076971
1940,53.147855,38.095323
3551,54.901823,52.299251
2612,51.809602,107.646181
6039,56.472386,84.986384
2090,57.758758,40.965108
3975,55.787442,37.635781
2927,48.50548,135.085616
5955,48.490572,135.05661
2070,53.001255,36.140365
3483,53.72137,91.447391
3682,58.581103,49.66142
6228,45.017996,39.049047
2201,55.042979,82.951152
5941,55.998076,92.952473
4760,53.222821,50.191651
3037,68.981323,33.105209
244,55.677671,37.666225
5818,56.885151,60.579257
4880,46.305906,44.299709
1267,57.791509,82.64321
635,48.456806,135.179454
3101,62.044597,129.730408
2076,51.659551,39.199865
6081,43.111264,131.935036
1244,57.626347,39.841756
5169,56.817178,60.538536
5311,55.747363,37.707098
5635,46.352485,48.038362
2367,56.892635,60.612485
5819,51.494159,46.122732
2211,53.757201,87.145682
269,45.036076,38.975807
5935,59.213556,39.890615
1490,55.744632,37.566072
4244,55.612182,37.607026
4448,54.910187,71.261384
1066,43.111376,131.938144
639,56.815828,35.886573
5871,55.503155,37.572513
2599,54.320153,35.279761
3104,55.11771,36.6134
5772,56.153864,44.209581
6221,55.756072,37.804781
160,55.852834,48.566814
2001,54.211555,45.11528
589,58.007599,56.261908
5428,56.065344,92.925497
4603,43.512083,39.864025
4937,56.460208,84.956156
2171,60.753108,72.859056
565,57.015939,41.005425
5429,56.107975,94.577526
3758,55.789558,37.752526
4903,53.14038,50.173675
1960,53.098604,49.947336
1425,56.79585,60.580936
3492,53.508452,49.431712
3655,55.801136,37.526959
1434,58.006783,56.304587
1168,53.24659,50.235228
954,47.206396,38.944168
6208,59.567672,150.810724
3658,55.015738,82.935961
1675,54.990798,73.363244
6112,52.033741,113.449234
5802,56.326393,44.022471
970,58.01456,56.250733
1391,55.820126,49.107474
1998,56.965177,40.99001
5195,52.621653,39.576466
2480,52.620423,38.574431
3797,54.035462,35.794783
3240,54.5005,37.067121
3628,54.711494,20.507271
5466,52.626087,39.642618
2286,55.851136,37.643138
4512,53.145073,38.105187
1439,48.818515,44.629121
1409,56.629169,47.884804
3288,55.741744,37.599741
1473,55.762054,37.620842
5237,55.340978,38.20172
3717,56.601624,84.866414
2928,42.809064,132.871628
6212,55.990735,92.957971
6236,56.858676,53.222845
4866,56.012164,92.971796
1686,55.992039,92.757099
2087,58.579489,49.683941
1872,53.186496,45.014606
3869,50.375796,103.291948
968,55.343927,86.064982
4087,52.243479,104.270348
4606,55.810703,93.684205
501,53.188433,44.970049
2993,56.060202,92.935342
371,56.103251,43.513162
1093,54.196457,37.591207
1749,53.347833,83.68689
2962,56.472014,84.973763
6063,51.494159,46.122732
5795,56.803564,53.186957
3152,54.532249,52.791187
3914,56.141136,47.200701
6073,46.94249,142.733441
3190,55.853213,38.441938
5603,46.360315,48.050175
5609,57.810016,28.361035
3342,51.528441,45.982945
1019,54.710261,20.541794
6010,55.634979,51.805025
2194,55.042979,82.951152
5769,57.054817,53.987626
425,54.200475,37.607691
4075,56.310737,43.839439
4354,58.522895,31.285114
2147,44.428076,39.530858
722,55.028749,82.936698
3844,47.283163,39.70841
1188,51.290477,45.657332
4645,50.531066,36.685894
3322,48.391976,135.109853
3441,51.812225,107.652226
1311,55.967436,46.771971
4296,55.692115,37.8964
1494,55.781833,37.72299
5742,55.182937,61.399706
3850,44.035499,43.065217
2023,51.738309,36.136996
5867,55.911305,36.869896
1815,51.826527,107.589659
345,48.723991,44.51729
3361,55.55389,37.711931
263,55.3581,86.075412
830,60.010115,30.404316
4202,54.957831,73.316451
4746,53.202578,44.996199
5648,61.668323,50.834332
3879,56.467394,53.806983
1687,56.008087,92.95524
5730,55.91523,37.726843
3763,55.774781,37.540524
1497,55.823879,37.497216
5016,45.071466,39.0044
5849,56.796974,60.578924
2761,56.326148,44.014134
6075,44.034384,43.080264
1775,53.54324,49.287955
4974,53.326218,83.690492
689,56.133407,47.243084
1860,51.726869,36.185927
3954,56.058805,92.953812
6077,48.765192,44.787395
1293,54.10663,54.103913
3119,52.543,85.215419
716,52.497463,82.77289
2223,59.955737,30.356436
1695,53.201984,50.137599
3793,54.002484,86.64012
4016,56.034375,92.911079
1584,55.353345,37.538754
2543,51.536991,46.039287
6094,57.67031,39.838091
4640,55.024925,82.956066
1835,43.512992,39.872146
4916,52.587039,39.53217
2019,54.874906,37.22129
3752,54.367782,71.761252
1942,55.738551,37.270391
4585,55.143939,61.414348
5205,56.868797,53.222378
2898,55.038294,73.26266
2226,53.390176,83.935113
5820,53.263247,34.403023
4351,59.888392,30.318653
3770,50.113324,129.446756
5854,56.796974,60.578924
5816,56.327915,37.510134
3241,53.342925,83.781878
3928,56.806905,60.612324
3050,54.734835,55.992827
4505,47.696242,40.10463
3873,46.30694,44.266534
2139,56.011359,90.400881
1264,53.528764,43.679045
4436,52.028372,113.495084
1226,56.093084,54.252566
944,52.612145,38.528437
4085,54.015009,38.8324
773,55.815701,37.731838
1421,55.156194,61.412938
2418,52.022076,47.783276
1820,56.529148,84.978847
4901,55.700801,37.506442
3938,57.977684,56.18875
1951,58.218581,68.282759
3378,51.467785,46.157793
4716,51.674595,39.156611
2400,55.611384,38.110676
4672,45.849489,40.117656
4697,48.471061,135.074908
5084,53.970767,86.723061
2912,50.874664,115.693397
632,56.260418,43.858133
4276,55.037851,82.93845
222,55.806115,37.635431
5552,54.826448,56.40351
2721,55.75825,37.406792
1095,56.852731,35.925371
2797,51.603266,39.237936
5640,53.825233,87.163379
278,55.646914,37.746912
1926,53.757271,87.114888
2589,57.76318,40.946253
1862,53.966276,38.164179
1516,47.269725,39.789654
2162,52.009893,48.813662
915,49.010402,131.051821
2998,54.96408,82.936069
6159,55.701298,38.958344
4145,55.596849,37.60814
644,55.161851,124.763021
5103,56.880415,35.845951
5912,56.838937,60.643235
3175,56.01235,37.482053
466,56.107584,47.280948
6190,48.488034,135.084152
2804,51.228262,58.474657
5175,55.16251,61.399508
5165,58.015203,56.28151
1990,47.262625,39.664285
5073,55.096523,38.760149
299,50.694253,38.324502
305,56.103206,47.26432
1643,52.275577,104.305166
1973,55.670021,37.55248
2202,50.263492,127.528287
1712,43.157581,131.925918
1107,52.273108,104.291269
24,52.023722,113.513428
3013,54.867119,37.215424
2270,54.011967,38.305646
6065,48.435751,135.130226
1850,52.605818,39.57793
3917,54.899379,52.274017
3081,58.603183,49.61054
2404,58.81784,125.535887
141,55.780957,49.213125
4317,51.863383,107.542012
6057,44.98328,41.096765
5250,55.757957,37.624534
4176,57.816067,28.304477
671,53.251649,83.686279
438,51.285909,37.851161
5189,55.362301,86.072025
3179,55.566287,38.229325
2327,46.965926,142.739981
5738,69.357627,88.186246
3565,55.24972,61.379377
4156,54.950004,73.027912
5578,50.269526,127.50406
77,56.251202,43.866514
4497,54.761358,56.013345
2600,46.097143,47.730734
3714,48.410735,135.116869
135,55.529053,37.026741
726,55.859696,37.121047
1634,51.633704,39.231656
1708,42.835072,132.886343
2639,54.374475,48.57851
4713,53.559915,118.718617
1651,60.068754,30.319192
6257,53.769459,87.117251
3690,56.985515,40.994726
5264,55.046992,73.277509
5114,55.703961,37.84481
1851,57.835908,28.290203
2167,55.152788,124.730844
1859,51.74131,36.192754
1151,43.157101,131.926169
2258,60.005967,30.259238
1056,50.263497,127.536947
5388,59.930146,30.361952
6029,56.118791,47.183606
3817,53.708943,40.060253
4627,56.057026,92.912696
646,56.225938,43.396848
4948,53.367664,83.675284
3894,55.861186,49.086759
3549,43.183092,131.489085
4965,56.031553,92.775766
2554,56.440577,53.795251
4715,50.387319,116.548215
4219,52.797814,51.15857
1671,55.020187,82.92246
1475,47.54,42.207164
4367,57.516079,41.234001
5863,43.590605,39.724427
4325,47.254137,39.762722
2580,57.066754,34.981511
2455,55.751492,49.22112
4938,67.938586,32.927917
904,59.099272,35.220589
1893,45.037394,41.942996
1873,55.729057,52.371224
2571,54.374039,59.997103
2409,55.850712,37.430768
5923,51.137154,133.041832
2907,56.009738,92.863307
6196,55.656407,37.527373
4171,59.988887,30.253148
6031,55.88876,37.433526
4241,51.7738,55.132277
3579,49.085895,140.254953
3663,55.048611,73.325829
3100,51.286343,37.798852
148,55.818796,49.082348
5777,50.574442,36.581995
375,56.468438,84.980994
2140,58.596726,49.591369
2813,54.741338,20.495539
1002,54.627783,39.745771
2888,55.081725,82.932871
2774,56.133332,47.246883
921,48.497492,135.097932
4764,68.138511,33.272412
5750,55.025049,73.297218
5243,55.862338,37.60894
3582,56.84197,60.583946
1426,56.830477,60.56023
351,55.819454,37.320239
3009,59.193643,39.907252
3290,51.548894,43.156036
5380,48.465493,135.179328
2101,48.459423,135.097609
5528,59.729214,30.083303
4495,54.761358,56.013345
366,59.999035,30.366192
2504,56.555823,84.086838
163,55.690928,52.346511
1419,56.823631,60.505406
2922,62.042809,129.736939
5614,51.654528,35.681883
3063,56.969141,60.600915
4306,56.779486,60.611398
4149,54.934991,82.91592
6107,48.435171,135.113033
1838,59.76894,30.128821
1802,55.809469,37.464571
2772,48.497492,135.097932
3497,55.674575,37.760225
3755,53.37844,58.976384
2734,45.052086,38.958766
5518,56.029199,92.743265
2637,54.409797,53.240614
2758,53.343226,83.67965
4015,56.034375,92.911079
1275,57.018776,40.959745
6087,47.10242,39.395994
1765,54.986258,82.810179
2855,54.650568,39.63606
500,53.161398,44.979024
1736,58.221695,68.278277
4053,51.656495,39.190648
1816,56.831512,60.635042
4814,53.343226,83.67965
2434,52.038721,113.511757
731,55.547845,37.543246
5246,55.81871,37.573501
3908,55.771226,52.430944
3819,56.137661,47.277839
2735,45.052086,38.958766
5901,58.56336,49.686618
831,67.938586,32.927917
4425,53.153558,48.470443
3052,57.746843,40.986937
4382,54.698993,86.21351
2025,50.607409,36.008501
1008,45.080568,38.893755
4103,53.203117,44.996289
6216,50.37228,103.288085
3284,45.855132,40.137275
203,55.027805,83.024032
4992,54.994987,82.965875
2675,55.024399,83.02423
411,52.257213,104.355265
3131,44.153172,133.260015
2099,52.48699,39.98042
2679,51.541568,46.014206
2779,53.338129,83.774889
1063,55.170784,61.374562
6130,50.375796,103.291948
237,55.679138,37.565317
5833,53.176151,48.484852
2732,60.033701,30.367755
2113,46.365135,47.990904
2602,54.776436,20.593725
402,56.055367,92.965688
3742,51.508994,46.194687
1831,53.515809,49.283732
2689,55.605002,37.758832
3524,54.32167,48.401048
5418,54.98914,82.906649
6106,44.343346,132.576442
5839,51.278061,37.509801
745,58.58358,49.679961
3615,52.763476,32.26638
6231,51.864545,107.74301
1638,58.003112,56.235884
4929,56.261383,93.52974
1181,56.01241,92.869002
2252,55.66114,37.911223
134,59.197256,39.859246
4397,55.778558,37.584568
1302,46.96389,142.728878
3978,55.787766,37.677158
5641,54.479523,53.506066
2793,55.648946,51.845512
6114,46.361715,48.046025
1660,56.608739,84.887102
526,43.377283,132.237831
166,56.829487,60.560563
3650,55.021571,82.91725
2481,56.238962,43.867116
3085,57.951498,56.120217
1821,55.605882,37.350144
2601,52.992459,158.667452
5744,58.081945,55.752204
2308,57.131458,65.583511
1545,54.734019,55.957128
1823,56.180287,36.990288
1858,53.24513,45.014103
5979,50.874664,115.693397
750,55.783367,37.59692
2268,52.279274,104.332242
4742,51.712061,39.179024
2266,52.26569,104.227022
1175,55.663512,37.605391
3989,55.745493,37.858986
6101,56.007645,92.876853
6207,56.476413,84.985315
651,55.350607,86.162198
4393,55.20487,37.55823
5676,56.998563,40.974604
2548,44.896944,37.323123
5298,55.440994,65.345637
1679,55.008882,73.346078
4118,51.599753,45.923216
1109,48.395835,135.10643
1689,56.065329,92.94561
685,56.047414,92.913181
1700,62.030643,129.741494
667,55.161615,61.424706
2183,52.26272,104.207537
5519,54.98058,82.829152
4070,57.159311,65.488065
45,46.695209,38.283637
2453,43.168562,131.922971
4529,55.779312,37.913873
3521,56.845101,53.209505
6013,53.371086,83.750976
5299,56.01241,92.855356
1944,44.041053,43.070274
1669,54.605469,53.69155
4841,59.926472,30.347983
209,55.909226,37.720043
1752,53.360625,83.733989
1161,51.827707,107.588572
3775,52.843065,32.67338
4596,59.832683,30.350561
2938,55.633221,37.624247
5101,62.063304,129.715272
5263,48.391976,135.109853
5039,57.030989,40.980155
99,57.53267,38.333269
5664,54.610814,39.80206
5633,55.204793,61.327311
2970,43.352063,132.169254
5326,52.510631,103.885294
1734,55.682651,37.661913
177,55.18378,61.398107
5122,46.304468,44.298002
2120,46.923784,142.746718
1739,55.413898,38.272327
1615,56.010201,37.48561
782,55.478312,37.298679
4897,59.828337,30.378085
1172,51.809769,107.616204
1140,55.640889,37.530732
3456,48.496609,135.07277
4921,55.902035,37.448725
2846,55.990735,92.957971
2410,55.77838,37.51644
2978,53.373471,83.666301
2737,55.82759,49.145536
5585,52.523838,85.181031
4282,56.048937,92.965086
5874,64.555234,40.527728
5770,46.356447,48.078912
4273,53.345607,83.778249
385,45.137164,42.009993
4076,55.817896,37.310986
2503,48.723842,44.539532
1953,56.136412,47.295833
5813,56.836761,35.895349
1083,46.308222,44.264665
2257,55.69587,37.664896
4346,55.818877,37.346739
3157,52.490056,39.955941
4264,48.779698,44.788877
3355,55.051128,82.96698
2696,55.770051,37.595061
2564,56.259233,83.974737
1529,54.997058,82.689194
6161,55.799026,38.184095
3243,56.290649,43.99818
5340,48.689674,44.488112
3849,51.698554,94.40769
2592,51.707083,94.46158
3552,54.634365,39.6888
2317,52.039541,47.391575
2539,56.113215,47.264266
4736,56.874385,60.553223
4157,55.714648,37.883572
2292,55.82759,49.145536
4167,59.971037,30.347426
2303,59.556876,150.818782
2334,51.047909,107.821927
2321,47.226686,39.612686
4637,56.118219,101.169723
948,52.612145,38.528437
2512,62.717178,129.661678
1042,59.931648,30.368096
3727,64.563653,39.819137
1470,55.762054,37.620842
4650,55.659104,51.847407
509,54.772639,20.446985
472,53.37078,83.689666
2269,54.327199,48.401362
4260,56.472889,84.949293
1906,56.660196,124.71038
362,59.922688,30.335182
3477,57.157949,65.539817
3562,56.046977,92.882539
706,52.757395,41.411364
2195,54.461797,19.94153
4797,59.217217,39.880222
4663,55.145442,61.451979
6122,50.37228,103.288085
5436,55.311292,86.090584
1609,54.674918,55.929056
4179,51.770897,55.10345
4315,56.316129,38.132532
594,55.32476,37.489589
556,57.584217,39.838675
2307,55.760231,37.658976
1716,46.956565,142.739505
3398,54.90894,73.451576
4292,53.530504,49.296408
5143,45.040922,38.982958
2274,52.022697,47.829432
4280,55.998574,92.931821
5061,53.111065,46.612888
3389,56.456299,84.980141
4878,55.69386,37.62201
3976,55.787766,37.677158
4909,54.96408,82.936069
1947,54.162705,37.58809
3801,54.62957,39.709695
1647,61.768437,34.309095
5503,53.360023,83.763409
4706,61.239951,73.459634
595,58.056455,38.806717
5370,56.871158,35.887264
5672,61.249989,46.63222
3798,53.123944,34.982796
4688,53.181175,48.395694
747,55.750854,37.815974
481,56.021055,92.809857
1963,55.885469,37.602166
1577,55.919579,37.973395
5964,53.758889,87.138164
5300,56.01241,92.855356
3773,54.608786,39.80744
853,53.748065,87.05445
2208,55.709449,37.661033
5745,58.081945,55.752204
680,51.769481,55.129995
5211,56.009154,37.849634
4437,52.028372,113.495084
551,51.837714,107.5892
985,53.887242,86.748456
5628,56.511615,84.944037
1631,56.008797,37.200044
275,54.864544,82.981308
1564,55.676149,37.50655
1757,54.993071,73.368023
4253,56.650038,66.315781
1351,50.260491,127.559576
4521,53.235085,50.22196
1416,54.907372,52.300311
2873,52.006024,47.822173
5879,55.769697,37.630652
4584,55.143939,61.414348
2447,55.818194,37.324632
2392,47.290051,39.846535
2669,54.994698,73.380977
10,56.132925,40.419184
5147,55.836312,49.103566
3093,56.129509,47.31891
4322,57.035329,40.922959
5317,45.031744,38.917479
488,55.03897,82.960728
3470,54.199132,37.60717
5781,46.335159,48.017548
5650,52.734346,41.392706
5930,53.335511,83.669723
5345,54.757285,56.035847
140,55.744429,49.219772
5442,62.029018,129.731531
3636,59.947023,30.477466
3168,55.903534,37.713432
2695,48.67695,44.457525
1,46.937353,142.753348
1639,55.845855,37.662093
1871,55.574818,41.998872
3772,57.259991,41.125772
5173,55.174697,61.398044
1621,59.807052,30.162229
3680,48.471138,135.119051
4032,57.026341,40.373361
5434,55.328627,86.124442
1266,58.609483,49.615768
558,50.560848,36.56825
217,55.738591,37.411005
3715,53.055311,158.665395
3667,57.162342,65.497605
2412,51.841759,107.603286
2472,58.610852,125.385257
2184,52.629826,38.457946
828,56.737915,37.16413
2989,56.010503,92.846688
5124,52.495802,39.51088
5567,53.239833,34.345315
1855,52.767192,41.404861
4986,55.579943,42.036655
3619,56.897807,53.307511
1261,44.635516,40.726803
2621,59.189647,39.901512
4386,55.750844,37.506442
2971,42.974076,132.408744
3963,55.671331,37.445814
4898,55.777783,37.465748
5998,55.051247,82.913944
3128,54.970665,82.85505
5045,51.834842,107.573085
4867,55.759912,37.621471
2629,59.220243,39.884857
3707,56.046846,92.946805
3149,42.791925,132.864612
6215,62.028525,129.732573
4836,56.456284,84.950308
2702,55.736392,37.62634
652,55.350607,86.162198
329,55.037252,82.976251
5760,55.879995,37.548923
2726,55.731075,37.633985
6237,61.08049,72.617292
4931,51.718115,94.426249
5927,46.95806,142.725904
4482,55.82713,37.31201
5959,50.918573,128.377231
3598,57.995843,56.254021
3566,69.340483,88.21634
2068,54.21414,37.618875
325,55.7939,49.149506
2590,55.780097,37.668264
243,55.677671,37.666225
3277,55.84024,37.492024
4391,54.681571,20.482496
2289,52.754817,32.255924
2640,55.826205,49.135439
5050,58.011861,56.242253
6203,54.989817,73.395727
1842,57.999907,56.26331
1087,57.559317,39.906794
1969,52.036987,87.090544
2028,47.228387,38.908442
1249,53.724593,91.421825
5043,51.212664,36.28706
419,54.731789,20.530879
4531,58.644159,49.722775
2105,48.478139,135.07569
5488,57.170336,65.567431
5227,55.764673,37.60629
2942,55.78195,37.239939
5550,56.100801,54.226101
4037,53.340678,83.705521
4972,56.476065,53.814655
6260,51.848725,109.905102
4786,52.286349,104.288233
5172,56.752575,60.706638
5410,56.515325,84.978236
1386,59.213501,39.851054
1158,54.995741,73.200191
6038,54.672346,20.501917
3695,55.570166,37.575693
2129,58.044091,56.094858
1537,54.835232,83.09729
3591,57.141085,65.554208
1420,56.902044,59.942118
3750,57.862021,39.521857
2519,51.666803,36.138883
4376,54.200507,37.646417
5236,55.340978,38.20172
2423,56.274185,43.92035
3173,51.864545,107.74301
1045,45.036458,41.935352
5638,55.656336,37.569584
3505,52.326948,35.369107
4490,56.974126,40.975367
4791,56.502832,85.006345
6149,59.990899,30.20578
900,54.907812,52.25544
1632,61.2775,73.365733
1761,55.996379,92.793777
5928,53.330655,83.794868
4691,52.273764,43.769918
3520,54.0205,37.505049
5606,67.930577,32.933478
758,52.063594,113.399584
3039,55.174424,73.21301
4848,62.044795,129.752794
4035,48.475565,135.080666
2979,53.305217,83.615824
6117,46.951484,142.735669
642,53.082883,158.633882
5949,52.404111,37.569656
1061,69.350428,88.200269
2004,55.979717,37.162692
5159,55.786318,49.189876
896,52.565871,78.940561
1380,56.006859,90.402318
4496,54.761358,56.013345
4787,55.120959,61.620593
1427,55.160108,61.40568
5944,56.321231,43.932082
2468,45.021061,38.969761
5049,51.375822,128.135396
3857,53.192566,45.010429
5989,57.852597,60.034842
417,53.217187,50.148972
5417,56.752575,60.706638
188,56.001791,90.451716
4899,55.730365,37.737309
1299,58.385662,33.895852
179,53.355992,58.970625
2454,52.932604,158.406088
2172,57.144626,65.51876
4204,54.945748,73.419524
6249,56.965535,40.972205
4649,53.35582,83.715304
2777,45.023163,39.042345
289,56.253202,90.474174
5620,43.112087,131.925882
5150,55.646289,50.656448
4930,56.012108,90.416152
2163,52.02692,113.429346
2260,55.171766,61.456965
1553,56.013975,92.891388
4569,55.996873,93.023449
4583,56.799986,60.629401
4373,54.775973,32.078183
4289,59.830843,30.500382
5932,56.449817,84.990786
335,53.166354,48.480414
1020,51.723081,36.173405
1770,58.536647,31.232213
5846,60.057464,29.999086
1800,56.909426,60.814966
5779,46.335159,48.017548
5007,46.958669,142.729246
2450,56.663431,124.711862
3823,54.374538,48.595964
3234,57.655198,39.944496
1021,54.411531,86.312666
4293,53.507033,49.281109
5394,59.923482,30.383197
3178,55.574289,42.03661
4660,58.374852,45.493507
3008,56.226004,93.513983
976,51.654757,39.189417
495,57.016865,40.973633
2083,55.678945,37.61123
1593,57.115407,65.545422
450,55.752283,37.887247
2723,55.75825,37.406792
